21514 20160104 1700 20160104 0700  2.424 -155.58   19.54     3.3     4.2     4.9     3.3     0.0      0 0      0 0      0 0 C    -2.9 0    -2.4 0    -3.5 0     4 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 1800 20160104 0800  2.424 -155.58   19.54     5.2     3.9     5.2     2.9     0.0     93 0    218 0      0 0 C    -2.4 0     1.3 0    -3.6 0     5 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 1900 20160104 0900  2.424 -155.58   19.54     8.1     7.0     8.1     5.2     0.0    334 0    447 0    219 0 C     5.8 0    11.1 0     1.3 0     2 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 2000 20160104 1000  2.424 -155.58   19.54     9.9     9.0    10.0     8.1     0.0    548 0    636 0    447 0 C    14.9 0    18.8 0    11.1 0     2 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 2100 20160104 1100  2.424 -155.58   19.54    10.8    10.4    11.0     9.8     0.0    708 0    768 0    637 0 C    21.3 0    24.7 0    18.8 0     1 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 2200 20160104 1200  2.424 -155.58   19.54    10.6    10.4    11.0     9.2     0.0    807 0    837 0    769 0 C    27.2 0    28.8 0    24.7 0     5 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160104 2300 20160104 1300  2.424 -155.58   19.54    11.0    11.2    11.8    10.6     0.0    841 0    846 0    832 0 C    29.7 0    30.5 0    28.8 0     6 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160105 0000 20160104 1400  2.424 -155.58   19.54    10.5    10.5    11.1    10.0     0.0    804 0    834 0    761 0 C    29.4 0    30.3 0    28.6 0     9 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160105 0100 20160104 1500  2.424 -155.58   19.54    10.3    10.2    11.0     9.2     0.0    701 0    763 0    628 0 C    27.6 0    28.9 0    25.9 0    16 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
21514 20160105 0200 20160104 1600  2.424 -155.58   19.54    10.1     9.7    10.7     9.0     0.0    533 0    628 0    432 0 C    23.6 0    25.9 0    20.4 0    24 0 -99.000 -99.000 -99.000 -99.000 -99.000 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
